,cluster,maxes,maxes_std,argmaxes,argmaxes_std,widths,widths_std,skews,skews_std,mses,mses_std
0,total,13.31443,9.812343,100.27414349813394,4.2099120514776205,9.856170694357777,3.097451848520299,3.3922443,0.7645277,4.394465475552818e-05,7.991007513354595e-05
1,0,96.9316,42.261227,95.63671875,0.7617521360204846,3.4519102889535147,0.538167908965388,6.4300017,0.8041347,0.01138541708272151,0.04486341079056142
2,1,17.008821,8.03286,99.5563170625814,5.9624312989065755,9.661828577355298,3.785419230085034,3.4113288,0.94541585,0.00010332544196537088,0.000193755133167988
3,2,9.536859,2.6636682,100.95379416846322,1.4042228277692337,9.879248583687467,1.1824149549506424,3.3821495,0.41469687,8.992045974606951e-05,0.0001492433255550507
4,3,8.852554,5.2979083,100.7093163700781,1.591218961587953,9.348958643200243,1.6902759860966508,3.1584437,0.72055024,0.0005092810704239705,0.0008752949675224519
